,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,0,0,1,0,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.11542288557213931,0.001275098084468036,0
1,5575-GNVDE,1,0,0,0,0.4647887323943662,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0.3850746268656717,0.21586660512347103,0
2,3668-QPYBK,1,0,0,0,0.014084507042253521,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0.35422885572139307,0.010310408492960998,1
3,7795-CFOCW,1,0,0,0,0.6197183098591549,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.23930348258706466,0.21024117239787676,0
4,9237-HQITU,0,0,0,0,0.014084507042253521,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5218905472636817,0.015330025386568196,1
5,9305-CDSKC,0,0,0,0,0.09859154929577464,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0.809950248756219,0.09251096238172167,1
6,1452-KIOVK,1,0,0,1,0.29577464788732394,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0.7049751243781094,0.22277867528271408,0
7,6713-OKOMC,0,0,0,0,0.1267605633802817,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.11442786069651742,0.03266789753057927,0
8,7892-POOKP,0,0,1,0,0.38028169014084506,1,1,1,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0.8611940298507462,0.3493249480729287,1
9,6388-TABGU,1,0,0,1,0.8591549295774648,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0.3771144278606965,0.4003173321024694,0
10,9763-GRSKD,1,0,1,1,0.16901408450704225,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.3154228855721393,0.06561850911608587,0
12,8091-TTVAX,1,0,1,0,0.8028169014084507,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.8169154228855721,0.6533925686591276,0
13,0280-XJGEX,1,0,0,0,0.676056338028169,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.8502487562189055,0.578986845141934,1
14,5129-JLPIS,1,0,0,0,0.3380281690140845,1,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0.8681592039800995,0.30778329102238633,0
15,3655-SNQYZ,0,0,1,1,0.9577464788732394,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0.945273631840796,0.9088795291945534,0
17,9959-WOFKT,1,0,0,1,0.9859154929577465,1,1,1,1.0,0.0,1.0,0.0,1.0,1.0,2,0,0,0.8800995024875622,0.8496942072467113,0
18,4190-MFLUW,0,0,1,1,0.1267605633802817,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.36766169154228856,0.058798753750288486,1
19,4183-MYFRB,0,0,0,0,0.28169014084507044,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0.7144278606965174,0.2127971382414032,0
20,8779-QRDMV,1,1,0,0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0.21293532338308457,0.0024059543041772442,1
23,3638-WEABW,0,0,1,0,0.8028169014084507,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,2,1,0,0.4144278606965174,0.4022963304869605,0
24,6322-HRPFA,1,0,1,1,0.676056338028169,1,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.41144278606965173,0.34058389106854375,0
25,6865-JZNKO,0,0,0,0,0.4084507042253521,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.3686567164179104,0.17445188091391645,0
26,6467-CHFZW,1,0,1,1,0.647887323943662,1,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0.8069651741293532,0.545851603969536,1
27,8665-UTDHZ,1,0,1,1,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.11890547263681592,0.0013154858066005077,1
28,5248-YGIJN,1,0,1,0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0.7164179104477612,0.7328236787445188,0
29,8773-HHUOZ,0,0,0,1,0.22535211267605634,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0.4621890547263682,0.12396722824832679,1
30,3841-NFECX,0,1,1,0,0.9859154929577465,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,2,1,0,0.7771144278606965,0.7786925917378259,0
31,4929-XIHVW,1,1,1,0,0.014084507042253521,1,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0.7686567164179104,0.01879183014078006,0
32,6827-IEAUQ,0,0,1,1,0.36619718309859156,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,0.47661691542288565,0.21412993307177478,0
34,3413-BMNZE,1,1,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.26865671641791045,0.003052157858296792,0
35,6234-RAAPL,0,0,1,1,1.0,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,2,0,0,0.8124378109452737,0.8346295868912993,0
36,6047-YHPVI,1,0,0,0,0.056338028169014086,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5119402985074627,0.034398799907685206,1
37,6572-ADKRS,0,0,0,0,0.6338028169014085,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0.5626865671641791,0.40728132933302563,0
38,5380-WJKOV,1,0,0,0,0.4647887323943662,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.8766169154228856,0.4073909531502423,1
39,8168-UQWWF,0,0,0,0,0.14084507042253522,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0.7920398009950248,0.12538656819755367,1
40,8865-TNMNX,1,0,1,1,0.1267605633802817,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0.3114427860696517,0.05272328640664666,0
41,9489-DEDVP,0,0,1,1,0.971830985915493,1,1,1,1.0,1.0,0.0,0.0,1.0,0.0,2,1,0,0.5069651741293533,0.5600680821601662,0
43,4671-VJLCL,0,0,0,0,0.8732394366197183,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2,1,0,0.6129353233830845,0.5588102930994692,0
44,4080-IIARD,0,0,1,0,0.16901408450704225,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0.5766169154228856,0.11108354488806832,0
45,3714-NTNFO,0,0,0,0,0.676056338028169,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0.6592039800995025,0.44863835679667663,0
46,5948-UJZLF,1,0,0,0,0.014084507042253521,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.30845771144278605,0.009023771059312255,0
47,7760-OYPDY,0,0,0,0,0.014084507042253521,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0.6208955223880598,0.014464574198015234,1
48,7639-LIAYI,1,0,0,0,0.7183098591549296,1,1,1,1.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0.6119402985074627,0.4845372720978537,0
49,2954-PIBKO,0,0,1,1,0.9577464788732394,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,2,1,0,0.4567164179104478,0.48872605585045004,0
50,8012-SOUDQ,0,1,0,0,0.5915492957746479,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0.7164179104477612,0.4407973690283868,0
51,9420-LOJKX,0,0,0,0,0.19718309859154928,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0.8044776119402984,0.1624278790676206,1
52,6575-SUVOI,0,1,1,0,0.3380281690140845,1,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0.5099502487562189,0.2000750057696746,0
53,7495-OOKFY,0,1,1,0,0.09859154929577464,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.6208955223880598,0.07090930071543965,1
54,4667-QONEA,0,1,1,1,0.8309859154929577,1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0,0.56318407960199,0.5120643895684284,0
55,1658-BYGOY,1,1,0,0,0.23943661971830985,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0.7681592039800995,0.20006346642049389,1
56,8769-KKTPH,0,0,1,1,0.8732394366197183,1,1,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.809950248756219,0.7261020078467574,0
57,5067-XJQFU,1,1,1,1,0.9154929577464789,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0.8975124378109453,0.814395338102931,0
59,5954-BDFSG,0,0,0,0,1.0,1,1,1,0.0,0.0,1.0,1.0,1.0,1.0,2,1,0,0.8880597014925373,0.9040964689591506,0
60,0434-CSFON,0,0,1,0,0.647887323943662,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0.818407960199005,0.5409993076390491,0
61,1215-FIGMP,1,0,0,0,0.8309859154929577,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0.7129353233830846,0.6268059081467805,0
62,0526-SXDJP,1,0,1,0,1.0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,2,0,0,0.2373134328358209,0.3396261250865451,0
63,0557-ASKVU,0,0,1,1,0.23943661971830985,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.3597014925373134,0.10827371336256636,0
64,5698-BQJOH,0,0,0,0,0.11267605633802817,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.7577114427860697,0.0967516732056312,1
65,5122-CYFXA,0,0,0,0,0.028169014084507043,1,0,1,0.0,1.0,0.0,1.0,1.0,1.0,0,1,0,0.5676616915422885,0.025998153704131086,0
66,8627-ZYGSZ,1,0,1,0,0.647887323943662,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0.6034825870646767,0.41905723517193627,0
67,3410-YOQBQ,0,0,0,0,0.4225352112676056,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,2,0,1,0.6064676616915423,0.28599123009462263,0
69,7410-OIEDU,1,0,0,0,0.1267605633802817,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,0.6129353233830845,0.10022501730902378,0
70,2273-QCKXA,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0.30646766169154227,0.0034906531271636275,0
72,1891-QRQSA,1,1,1,1,0.8873239436619719,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,2,1,0,0.9288557213930347,0.8170090006923609,0
74,5630-AHZIL,0,0,0,1,0.028169014084507043,1,0,1,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0,0.4601990049751244,0.018301407800600047,0
75,2673-CXQEU,0,1,0,0,0.7746478873239436,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0.917910447761194,0.7062889453034848,0
76,6416-JNVRK,0,0,0,0,0.6338028169014085,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0.37213930348258706,0.30810639279944607,0
77,5590-ZSKRV,0,0,1,1,0.09859154929577464,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.36218905472636814,0.05347911377798292,0
78,0191-ZHSKZ,1,1,0,0,0.4084507042253521,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0.5621890547263682,0.2414608816062774,0
80,5919-TMRGD,0,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0.6079601990049751,0.006987075928917608,1
81,8108-UXRQN,0,0,1,1,0.14084507042253522,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.3213930348258706,0.06306831294714979,0
82,9191-MYQKX,0,0,1,0,0.08450704225352113,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0.5661691542288558,0.05516962843295638,1
83,9919-YLNNG,0,0,0,0,0.5774647887323944,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0.8512437810945274,0.49719593814908836,0
85,4445-ZJNMU,1,0,0,0,0.11267605633802817,1,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0.8064676616915423,0.10384837295176552,0
86,4808-YNLEU,0,0,1,0,0.4788732394366197,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0.4368159203980099,0.2534791137779829,0
89,3016-KSVCP,1,0,1,0,0.39436619718309857,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0.15422885572139303,0.11429148396030464,0
90,4767-HZZHQ,1,0,1,1,0.4084507042253521,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.6348258706467661,0.29441495499653814,0
91,2424-WVHPL,1,1,0,0,0.0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.5616915422885572,0.006450496192014771,0
92,7233-PAHHL,1,0,1,1,0.9154929577464789,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,2,1,1,0.654228855721393,0.6572178629125317,0
93,6067-NGCEU,0,0,0,0,0.9014084507042254,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.9233830845771144,0.8179321486268174,0
94,9848-JQJTX,1,0,0,0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,2,1,0,0.8223880597014926,0.8585564274174936,0
95,8637-XJIVR,0,0,0,0,0.15492957746478872,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.6039800995024875,0.10484075698130627,1
96,9803-FTJCG,1,0,1,1,0.9859154929577465,1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0.48358208955223875,0.545799676898223,0
99,4598-XLKNJ,0,1,1,0,0.3380281690140845,1,0,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.7985074626865671,0.2879875375028848,1
102,7123-WQUHX,1,0,0,0,0.5211267605633803,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0.763681592039801,0.41389337641357027,0
103,5386-THSLQ,0,1,1,0,0.9154929577464789,0,0,1,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0.2716417910447761,0.3471555504269559,0
104,3192-NQECA,1,0,1,0,0.9436619718309859,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0.9129353233830846,0.8761885529656127,1
105,6180-YBIQI,1,0,0,0,0.056338028169014086,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.060199004975124384,0.009393030233094854,0
106,6728-DKUCO,0,0,1,1,1.0,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,0,0.854726368159204,0.840555042695592,0
